timestamp,points,frame_id,filename
1490994979978151000,35645,velodyne,lidar/1490994979978151000
1490994980078252000,35688,velodyne,lidar/1490994980078252000
1490994980178348000,35645,velodyne,lidar/1490994980178348000
1490994980278434000,35683,velodyne,lidar/1490994980278434000
1490994980378549000,35663,velodyne,lidar/1490994980378549000
1490994980478611000,35635,velodyne,lidar/1490994980478611000
1490994980578671000,35711,velodyne,lidar/1490994980578671000
1490994980678769000,35668,velodyne,lidar/1490994980678769000
1490994980778856000,35656,velodyne,lidar/1490994980778856000
1490994980878942000,35667,velodyne,lidar/1490994980878942000
1490994980979041000,35660,velodyne,lidar/1490994980979041000
1490994981079132000,35686,velodyne,lidar/1490994981079132000
1490994981179203000,35642,velodyne,lidar/1490994981179203000
1490994981279304000,35747,velodyne,lidar/1490994981279304000
1490994981379389000,35680,velodyne,lidar/1490994981379389000
1490994981479451000,35639,velodyne,lidar/1490994981479451000
1490994981579560000,35660,velodyne,lidar/1490994981579560000
1490994981679662000,35695,velodyne,lidar/1490994981679662000
1490994981779736000,35669,velodyne,lidar/1490994981779736000
1490994981879824000,35698,velodyne,lidar/1490994981879824000
1490994981979910000,35630,velodyne,lidar/1490994981979910000
1490994982079995000,35679,velodyne,lidar/1490994982079995000
1490994982180071000,35686,velodyne,lidar/1490994982180071000
1490994982280146000,35681,velodyne,lidar/1490994982280146000
1490994982380249000,35620,velodyne,lidar/1490994982380249000
1490994982480345000,35690,velodyne,lidar/1490994982480345000
1490994982580408000,35624,velodyne,lidar/1490994982580408000
1490994982680494000,35738,velodyne,lidar/1490994982680494000
1490994982780601000,35695,velodyne,lidar/1490994982780601000
1490994982880666000,35707,velodyne,lidar/1490994982880666000
1490994982980783000,35726,velodyne,lidar/1490994982980783000
1490994983080861000,35676,velodyne,lidar/1490994983080861000
1490994983180957000,35648,velodyne,lidar/1490994983180957000
1490994983281069000,35687,velodyne,lidar/1490994983281069000
1490994983381123000,35674,velodyne,lidar/1490994983381123000
1490994983481219000,35809,velodyne,lidar/1490994983481219000
1490994983581295000,35716,velodyne,lidar/1490994983581295000
1490994983681386000,35677,velodyne,lidar/1490994983681386000
1490994983781445000,35644,velodyne,lidar/1490994983781445000
1490994983881564000,35651,velodyne,lidar/1490994983881564000
1490994983981654000,35624,velodyne,lidar/1490994983981654000
1490994984081728000,35739,velodyne,lidar/1490994984081728000
1490994984181814000,35642,velodyne,lidar/1490994984181814000
1490994984281928000,35701,velodyne,lidar/1490994984281928000
1490994984381981000,35709,velodyne,lidar/1490994984381981000
1490994984482076000,35721,velodyne,lidar/1490994984482076000
1490994984582161000,35694,velodyne,lidar/1490994984582161000
1490994984682251000,35741,velodyne,lidar/1490994984682251000
1490994984782334000,35677,velodyne,lidar/1490994984782334000
1490994984882428000,35608,velodyne,lidar/1490994984882428000
1490994984982486000,35701,velodyne,lidar/1490994984982486000
1490994985082573000,35701,velodyne,lidar/1490994985082573000
1490994985182659000,35657,velodyne,lidar/1490994985182659000
1490994985282769000,35646,velodyne,lidar/1490994985282769000
1490994985382833000,35666,velodyne,lidar/1490994985382833000
1490994985482960000,35617,velodyne,lidar/1490994985482960000
1490994985583030000,35694,velodyne,lidar/1490994985583030000
1490994985683117000,35631,velodyne,lidar/1490994985683117000
1490994985783204000,35626,velodyne,lidar/1490994985783204000
1490994985883268000,35660,velodyne,lidar/1490994985883268000
1490994985983380000,35619,velodyne,lidar/1490994985983380000
1490994986083463000,35593,velodyne,lidar/1490994986083463000
1490994986183567000,35559,velodyne,lidar/1490994986183567000
1490994986283612000,35632,velodyne,lidar/1490994986283612000
1490994986383751000,35575,velodyne,lidar/1490994986383751000
1490994986483822000,35570,velodyne,lidar/1490994986483822000
1490994986583925000,35557,velodyne,lidar/1490994986583925000
1490994986683959000,35547,velodyne,lidar/1490994986683959000
1490994986784093000,35431,velodyne,lidar/1490994986784093000
1490994986884158000,35491,velodyne,lidar/1490994986884158000
1490994986984255000,35487,velodyne,lidar/1490994986984255000
1490994987084341000,35457,velodyne,lidar/1490994987084341000
1490994987184422000,35323,velodyne,lidar/1490994987184422000
1490994987284480000,35370,velodyne,lidar/1490994987284480000
1490994987384568000,35369,velodyne,lidar/1490994987384568000
1490994987484675000,35300,velodyne,lidar/1490994987484675000
1490994987584741000,35180,velodyne,lidar/1490994987584741000
1490994987684827000,35131,velodyne,lidar/1490994987684827000
1490994987784921000,35154,velodyne,lidar/1490994987784921000
1490994987885025000,35101,velodyne,lidar/1490994987885025000
1490994987985100000,35060,velodyne,lidar/1490994987985100000
1490994988085217000,35027,velodyne,lidar/1490994988085217000
1490994988185262000,34989,velodyne,lidar/1490994988185262000
1490994988285351000,34861,velodyne,lidar/1490994988285351000
1490994988385462000,34824,velodyne,lidar/1490994988385462000
1490994988485542000,34862,velodyne,lidar/1490994988485542000
