timestamp,tx,ty,tz,rx,ry,rz
1490994740866302748,66.6,3.079,0.314,0.0,0.0,0.0
1490994740956790018,66.601,3.078,0.313,0.0,0.0,0.0
1490994741022521136,66.601,3.079,0.314,0.0,0.0,0.0
1490994741123086413,66.601,3.079,0.315,0.0,0.0,0.0
1490994741223623241,66.601,3.08,0.315,0.0,0.0,0.0
1490994741324209381,66.6,3.08,0.316,0.0,0.0,0.0
1490994741430468994,66.6,3.081,0.317,0.0,0.0,0.0
1490994742019501462,66.6,3.081,0.317,0.0,0.0,0.0
1490994743288512328,66.6,3.081,0.316,0.0,0.0,0.0
1490994743288512328,66.6,3.08,0.315,0.0,0.0,0.0
1490994743288512328,66.6,3.08,0.313,0.0,0.0,0.0
1490994743288512328,66.6,3.08,0.315,0.0,0.0,0.0
1490994743288512328,66.601,3.079,0.316,0.0,0.0,0.0
1490994743288512328,66.6,3.08,0.318,0.0,0.0,0.0
1490994743293545725,66.6,3.08,0.319,0.0,0.0,0.0
1490994743293545725,66.6,3.08,0.319,0.0,0.0,0.0
1490994743293545725,66.601,3.081,0.321,0.0,0.0,0.0
1490994743293545725,66.6,3.08,0.322,0.0,0.0,0.0
1490994743293545725,66.601,3.081,0.32,0.0,0.0,0.0
1490994743293545725,66.599,3.079,0.315,0.0,0.0,0.0
1490994743293545725,66.599,3.08,0.316,0.0,0.0,0.0
1490994743293545725,66.599,3.079,0.317,0.0,0.0,0.0
1490994743298572116,66.599,3.079,0.317,0.0,0.0,0.0
1490994743298572116,66.599,3.08,0.319,0.0,0.0,0.0
1490994743308631365,66.599,3.079,0.32,0.0,0.0,0.0
1490994743318684651,66.599,3.079,0.32,0.0,0.0,0.0
1490994743419318452,66.599,3.08,0.322,0.0,0.0,0.0
1490994743530080932,66.599,3.08,0.322,0.0,0.0,0.0
1490994743651674762,66.599,3.08,0.323,0.0,0.0,0.0
1490994743727088531,66.6,3.079,0.314,0.0,0.0,0.0
1490994743822678884,66.6,3.079,0.316,0.0,0.0,0.0
1490994743923282972,66.6,3.08,0.316,0.0,0.0,0.0
1490994744023848420,66.6,3.08,0.315,0.0,0.0,0.0
1490994744124373936,66.601,3.08,0.316,0.0,0.0,0.0
1490994744250992044,66.6,3.081,0.318,0.0,0.0,0.0
1490994744347234707,66.6,3.081,0.32,0.0,0.0,0.0
1490994744503121764,66.599,3.081,0.32,0.0,0.0,0.0
1490994744767140464,66.6,3.08,0.321,0.0,0.0,0.0
1490994744817439149,66.599,3.081,0.322,0.0,0.0,0.0
1490994744817439149,66.6,3.078,0.315,0.0,0.0,0.0
1490994744832522531,66.6,3.08,0.316,0.0,0.0,0.0
1490994744923081656,66.6,3.079,0.317,0.0,0.0,0.0
1490994745028908498,66.6,3.081,0.318,0.0,0.0,0.0
1490994745124478636,66.6,3.081,0.318,0.0,0.0,0.0
1490994745251059868,66.6,3.081,0.318,0.0,0.0,0.0
1490994745387606438,66.6,3.08,0.318,0.0,0.0,0.0
1490994745427841393,66.6,3.08,0.319,0.0,0.0,0.0
1490994746032836588,66.599,3.08,0.321,0.0,0.0,0.0
1490994746037863095,66.6,3.08,0.322,0.0,0.0,0.0
1490994746037863095,66.601,3.08,0.316,0.0,0.0,0.0
1490994746037863095,66.6,3.079,0.317,0.0,0.0,0.0
1490994746037863095,66.6,3.08,0.317,0.0,0.0,0.0
1490994746037863095,66.6,3.081,0.319,0.0,0.0,0.0
1490994746123358052,66.6,3.081,0.318,0.0,0.0,0.0
1490994746218923008,66.601,3.081,0.321,0.0,0.0,0.0
1490994746320680030,66.601,3.081,0.322,0.0,0.0,0.0
1490994746421246954,66.6,3.081,0.32,0.0,0.0,0.0
1490994746522631606,66.601,3.081,0.321,0.0,0.0,0.0
1490994746649030647,66.6,3.082,0.322,0.0,0.0,0.0
1490994746719442039,66.6,3.081,0.314,0.0,0.0,0.0
1490994746821011816,66.601,3.082,0.315,0.0,0.0,0.0
1490994746917716152,66.6,3.082,0.313,0.0,0.0,0.0
1490994747023324297,66.601,3.081,0.316,0.0,0.0,0.0
1490994747118941423,66.601,3.082,0.316,0.0,0.0,0.0
1490994747224519507,66.601,3.082,0.315,0.0,0.0,0.0
1490994747320805150,66.601,3.082,0.316,0.0,0.0,0.0
1490994747421397430,66.601,3.082,0.319,0.0,0.0,0.0
1490994747522661382,66.601,3.083,0.319,0.0,0.0,0.0
1490994747648400711,66.601,3.083,0.318,0.0,0.0,0.0
1490994747719471331,66.601,3.08,0.313,0.0,0.0,0.0
1490994747820862896,66.6,3.08,0.313,0.0,0.0,0.0
1490994747921437111,66.6,3.08,0.311,0.0,0.0,0.0
1490994748022680558,66.601,3.08,0.315,0.0,0.0,0.0
1490994748123255541,66.601,3.08,0.313,0.0,0.0,0.0
1490994748224341636,66.601,3.079,0.317,0.0,0.0,0.0
1490994748320803506,66.601,3.08,0.317,0.0,0.0,0.0
1490994748421300514,66.601,3.081,0.319,0.0,0.0,0.0
1490994748522521149,66.601,3.081,0.317,0.0,0.0,0.0
1490994748649003517,66.601,3.081,0.318,0.0,0.0,0.0
1490994748719365880,66.602,3.078,0.317,0.0,0.0,0.0
1490994748820945675,66.602,3.079,0.319,0.0,0.0,0.0
1490994748921504136,66.602,3.079,0.321,0.0,0.0,0.0
1490994749022666819,66.602,3.08,0.32,0.0,0.0,0.0
1490994749123208727,66.602,3.079,0.32,0.0,0.0,0.0
1490994749233857373,66.602,3.079,0.321,0.0,0.0,0.0
1490994749324350699,66.602,3.079,0.321,0.0,0.0,0.0
1490994749420684299,66.602,3.079,0.323,0.0,0.0,0.0
1490994749522061213,66.601,3.08,0.32,0.0,0.0,0.0
1490994749647749904,66.601,3.08,0.322,0.0,0.0,0.0
1490994749718139429,66.6,3.079,0.316,0.0,0.0,0.0
1490994749819734663,66.601,3.079,0.314,0.0,0.0,0.0
1490994749920257278,66.601,3.08,0.317,0.0,0.0,0.0
1490994750020816651,66.6,3.08,0.318,0.0,0.0,0.0
1490994750122393727,66.601,3.081,0.317,0.0,0.0,0.0
1490994750222948391,66.6,3.081,0.319,0.0,0.0,0.0
1490994750323528547,66.601,3.08,0.316,0.0,0.0,0.0
1490994750419238945,66.6,3.08,0.318,0.0,0.0,0.0
1490994750519737567,66.599,3.08,0.32,0.0,0.0,0.0
1490994750650573168,66.599,3.08,0.32,0.0,0.0,0.0
1490994750720965548,66.601,3.079,0.316,0.0,0.0,0.0
1490994750822017892,66.601,3.08,0.316,0.0,0.0,0.0
1490994750922609644,66.601,3.08,0.318,0.0,0.0,0.0
1490994751018148051,66.601,3.08,0.316,0.0,0.0,0.0
1490994751123802430,66.601,3.08,0.318,0.0,0.0,0.0
1490994751219328636,66.601,3.08,0.319,0.0,0.0,0.0
1490994751319881422,66.601,3.08,0.318,0.0,0.0,0.0
1490994751420464158,66.6,3.081,0.319,0.0,0.0,0.0
1490994751521096835,66.6,3.08,0.321,0.0,0.0,0.0
