index,timestamp,lat,long,alt
2017-03-31 20:55:01.771026,1490993701771026000,37.4265459801,-122.076413333,-33.1741407376
2017-03-31 20:55:01.871098,1490993701871098000,37.4265459801,-122.076413333,-33.1741407376
2017-03-31 20:55:01.971209,1490993701971209000,37.4265459801,-122.076413333,-33.1741407376
2017-03-31 20:55:02.071301,1490993702071301000,37.4265459801,-122.076413333,-33.1741407376
2017-03-31 20:55:02.171371,1490993702171371000,37.4265459815,-122.07641333,-33.1730146562
2017-03-31 20:55:02.271457,1490993702271457000,37.4265459833,-122.076413327,-33.1714956646
2017-03-31 20:55:02.371543,1490993702371543000,37.4265459853,-122.076413332,-33.1707475288
2017-03-31 20:55:02.471630,1490993702471630000,37.4265459874,-122.076413339,-33.1703392718
2017-03-31 20:55:02.571694,1490993702571694000,37.4265459894,-122.076413347,-33.1699311088
2017-03-31 20:55:02.671794,1490993702671794000,37.4265459894,-122.076413349,-33.1701578389
2017-03-31 20:55:02.771919,1490993702771919000,37.4265459872,-122.076413344,-33.1710467034
2017-03-31 20:55:02.872007,1490993702872007000,37.426545985,-122.07641334,-33.171935236
2017-03-31 20:55:02.972063,1490993702972063000,37.4265459829,-122.076413336,-33.1728234869
2017-03-31 20:55:03.072141,1490993703072141000,37.4265459807,-122.076413331,-33.1737119332
2017-03-31 20:55:03.172227,1490993703172227000,37.4265459785,-122.076413327,-33.1746004499
2017-03-31 20:55:03.272313,1490993703272313000,37.4265459763,-122.076413323,-33.1754889666
2017-03-31 20:55:03.372421,1490993703372421000,37.4265459741,-122.076413318,-33.1763776788
2017-03-31 20:55:03.472474,1490993703472474000,37.426545972,-122.076413314,-33.1772659024
2017-03-31 20:55:03.572585,1490993703572585000,37.4265459698,-122.076413309,-33.1781546396
2017-03-31 20:55:03.672648,1490993703672648000,37.4265459705,-122.076413309,-33.17921976
2017-03-31 20:55:03.772734,1490993703772734000,37.426545974,-122.076413312,-33.180462151
2017-03-31 20:55:03.872822,1490993703872822000,37.4265459776,-122.076413315,-33.1817045675
2017-03-31 20:55:03.972909,1490993703972909000,37.4265459812,-122.076413319,-33.1829469713
2017-03-31 20:55:04.073009,1490993704073009000,37.4265459848,-122.076413322,-33.184189534
2017-03-31 20:55:04.173096,1490993704173096000,37.4265459883,-122.076413325,-33.1854319378
2017-03-31 20:55:04.273179,1490993704273179000,37.4265459919,-122.076413329,-33.1866742907
2017-03-31 20:55:04.373256,1490993704373256000,37.42654599,-122.076413332,-33.1866981912
2017-03-31 20:55:04.473346,1490993704473346000,37.4265459849,-122.076413336,-33.1859824463
2017-03-31 20:55:04.573451,1490993704573451000,37.4265459798,-122.07641334,-33.1852665952
2017-03-31 20:55:04.673519,1490993704673519000,37.4265459759,-122.07641333,-33.1851316228
2017-03-31 20:55:04.773626,1490993704773626000,37.4265459733,-122.076413308,-33.1855590563
2017-03-31 20:55:04.873702,1490993704873702000,37.4265459723,-122.076413306,-33.1850766823
2017-03-31 20:55:04.973776,1490993704973776000,37.4265459717,-122.076413311,-33.1843247981
2017-03-31 20:55:05.073862,1490993705073862000,37.4265459712,-122.076413316,-33.1835728235
