index,timestamp,lat,long,alt
2017-03-31 20:53:18.181300,1490993598181300000,37.4265094288,-122.076397214,-32.6475639392
2017-03-31 20:53:18.281387,1490993598281387000,37.4265094328,-122.076397223,-32.6476337158
2017-03-31 20:53:18.381466,1490993598381466000,37.4265094376,-122.076397234,-32.6477167824
2017-03-31 20:53:18.481568,1490993598481568000,37.4265094394,-122.07639723,-32.6482620892
2017-03-31 20:53:18.581624,1490993598581624000,37.426509438,-122.076397235,-32.6463088038
2017-03-31 20:53:18.681736,1490993598681736000,37.4265094161,-122.076397254,-32.6479420373
2017-03-31 20:53:18.781821,1490993598781821000,37.426509411,-122.076397251,-32.6492621693
2017-03-31 20:53:18.881887,1490993598881887000,37.4265094167,-122.076397243,-32.6492761794
2017-03-31 20:53:18.981994,1490993598981994000,37.4265094233,-122.076397236,-32.6491473984
2017-03-31 20:53:19.082069,1490993599082069000,37.4265094299,-122.076397228,-32.6490186585
2017-03-31 20:53:19.182168,1490993599182168000,37.4265094298,-122.07639723,-32.6486225181
2017-03-31 20:53:19.282231,1490993599282231000,37.4265094324,-122.076397233,-32.6484669445
2017-03-31 20:53:19.382321,1490993599382321000,37.4265094288,-122.076397237,-32.6465176633
2017-03-31 20:53:19.482429,1490993599482429000,37.4265094257,-122.076397236,-32.6430515862
2017-03-31 20:53:19.582521,1490993599582521000,37.4265094255,-122.076397232,-32.6427706337
2017-03-31 20:53:19.682578,1490993599682578000,37.4265094348,-122.076397231,-32.6446175427
2017-03-31 20:53:19.782689,1490993599782689000,37.4265094504,-122.076397231,-32.6475209661
2017-03-31 20:53:19.882753,1490993599882753000,37.4265094421,-122.076397226,-32.6446234504
2017-03-31 20:53:19.982912,1490993599982912000,37.4265094424,-122.076397218,-32.6458970898
2017-03-31 20:53:20.082949,1490993600082949000,37.426509443,-122.076397219,-32.6443075142
2017-03-31 20:53:20.183059,1490993600183059000,37.4265094432,-122.076397222,-32.6451391043
2017-03-31 20:53:20.283123,1490993600283123000,37.4265094453,-122.076397224,-32.6440321041
2017-03-31 20:53:20.383207,1490993600383207000,37.4265094524,-122.076397229,-32.6434941375
2017-03-31 20:53:20.483284,1490993600483284000,37.4265094568,-122.076397236,-32.6427563225
2017-03-31 20:53:20.583369,1490993600583369000,37.426509462,-122.076397236,-32.6427805256
2017-03-31 20:53:20.683498,1490993600683498000,37.4265094423,-122.076397246,-32.6463187463
2017-03-31 20:53:20.783556,1490993600783556000,37.4265094431,-122.076397245,-32.6460819676
2017-03-31 20:53:20.883638,1490993600883638000,37.4265094418,-122.076397237,-32.6443265829
2017-03-31 20:53:20.983716,1490993600983716000,37.4265094391,-122.076397228,-32.646828148
2017-03-31 20:53:21.083806,1490993601083806000,37.4265094318,-122.076397229,-32.6463686817
2017-03-31 20:53:21.183880,1490993601183880000,37.4265094299,-122.076397229,-32.6474215966
2017-03-31 20:53:21.283976,1490993601283976000,37.4265094259,-122.076397236,-32.6464188211
2017-03-31 20:53:21.384063,1490993601384063000,37.4265094338,-122.076397242,-32.6437545075
2017-03-31 20:53:21.484162,1490993601484162000,37.4265094438,-122.076397249,-32.6408720924
2017-03-31 20:53:21.584279,1490993601584279000,37.4265094378,-122.076397245,-32.6421175449
2017-03-31 20:53:21.684337,1490993601684337000,37.4265094293,-122.076397239,-32.6440022214
2017-03-31 20:53:21.784415,1490993601784415000,37.4265094208,-122.076397233,-32.6458872789
2017-03-31 20:53:21.884511,1490993601884511000,37.4265094205,-122.076397229,-32.6459936136
2017-03-31 20:53:21.984624,1490993601984624000,37.4265094156,-122.076397245,-32.6435178661
2017-03-31 20:53:22.084704,1490993602084704000,37.4265094437,-122.076397299,-32.6425248711
2017-03-31 20:53:22.184794,1490993602184794000,37.4265095052,-122.076397407,-32.6406915416
2017-03-31 20:53:22.284879,1490993602284879000,37.4265095924,-122.076397568,-32.6432015728
2017-03-31 20:53:22.384962,1490993602384962000,37.4265096983,-122.076397794,-32.6428302957
2017-03-31 20:53:22.485050,1490993602485050000,37.426509712,-122.076397824,-32.6427117826
